2 33 25 5 0 1 M 162.4296735 0.9460602204028578 0.38622746765533217
2 33 25 5 0 2 M 84.038981 1.0758942964451457 0.43923200724355144
2 33 25 5 0 4 M 61.63530316666667 4.5869191082846195 1.872601884453223
2 33 25 5 0 8 M 38.49877416666667 2.287508228409892 0.9338713236703584
2 33 25 5 0 16 M 24.555689666666666 1.5609588818062659 0.6372587949817913
2 33 25 5 0 24 M 25.403181166666666 3.2298434282699477 1.318578058057149
2 33 25 5 0 32 M 22.825347 0.7001586693197477 0.2858385798032402
2 33 25 5 0 48 M 22.271073 0.9066872720613205 0.3701535288043776
2 33 25 5 0 64 M 20.909636833333334 0.5535850632636028 0.2260001557036953
2 33 25 5 0 96 M 37.8089835 1.1717797357078246 0.4783770739029166
