 4 5 25 M 0.0127078
 4 15 25 M 0.2944732
 4 20 25 M 0.7005705999999999
 4 5 25 C 0.10491
 4 15 25 C 2.6403682
 4 20 25 C 6.2258287999999995
 4 5 25 M 0.0131454
 4 15 25 M 0.296838
 4 20 25 M 0.7163914
 4 5 25 C 0.10602339999999999
 4 15 25 C 2.694217
 4 20 25 C 6.4501767999999995
 4 5 25 M 0.025299
 4 15 25 M 1.052403
 4 20 25 M 2.6495442000000002
 4 5 25 C 0.12306339999999999
 4 15 25 C 3.2538306
 4 20 25 C 8.64097
 4 5 25 M 0.0385022
 4 15 25 M 1.0172884
 4 20 25 M 2.38948
 4 5 25 C 0.177512
 4 15 25 C 4.3989996
 4 20 25 C 12.140124
 4 5 25 M 0.0224694
 4 15 25 M 0.973231
 4 20 25 M 2.40628
 4 5 25 C 0.1115748
 4 15 25 C 3.0056166
 4 20 25 C 7.8189852
 4 5 25 M 0.022498599999999997
 4 15 25 M 0.8905648
 4 20 25 M 2.2705776
 4 5 25 C 0.11462939999999999
 4 15 25 C 2.969503
 4 20 25 C 7.306320400000001
 4 5 25 M 0.0243578
 4 15 25 M 0.930781
 4 20 25 M 2.4846382
 4 5 25 C 0.1157562
 4 15 25 C 3.0323072
 4 20 25 C 7.9494696
 4 5 25 M 0.025794400000000002
 4 15 25 M 1.0091834
 4 20 25 M 2.3904302000000004
 4 5 25 C 0.11858980000000001
 4 15 25 C 3.1114048
 4 20 25 C 8.1885476
