 1 5 20 60 0 M 0.8108834
 1 10 20 60 0 M 1.9162268
 1 15 20 60 0 M 2.86665
 1 20 20 60 0 M 4.01499
 1 25 20 60 0 M 5.1118652
 1 30 20 60 0 M 6.367390599999999
 1 35 20 60 0 M 8.182889
 1 40 20 60 0 M 10.3868496
 1 45 20 60 0 M 12.248575800000001
 1 50 20 60 0 M 14.4832076
 1 5 20 60 0 C 0.0417164
 1 10 20 60 0 C 0.2083378
 1 15 20 60 0 C 0.5986032
 1 20 20 60 0 C 1.3625352
 1 25 20 60 0 C 2.376935
 1 30 20 60 0 C 3.7898587999999997
 1 35 20 60 0 C 5.9428972
 1 40 20 60 0 C 8.525981
 1 45 20 60 0 C 11.528833800000001
 1 50 20 60 0 C 15.728123199999999
