 2 1 25 5 0  33.874916112623360f64
 2 3 25 5 0  47.078523654255811f64
 2 5 25 5 0  50.058754453865035f64
 2 7 25 5 0  51.398840056443497f64
 2 9 25 5 0  52.163535664079546f64
 2 11 25 5 0  52.658614221576059f64
 2 13 25 5 0  53.005515297436702f64
 2 1 25 5 0  33.874916112623360f64
 2 3 25 5 0  47.078523654260096f64
 2 5 25 5 0  50.058754453865056f64
 2 7 25 5 0  51.398840056443490f64
 2 9 25 5 0  52.163535664082801f64
 2 11 25 5 0  52.658614221581033f64
 2 13 25 5 0  53.005515297440674f64
 2 1 25 5 0  33.874916112622138f64
 2 3 25 5 0  47.078523654261573f64
 2 5 25 5 0  50.058754453860793f64
 2 7 25 5 0  51.398840056439298f64
 2 9 25 5 0  52.163535664081756f64
 2 11 25 5 0  52.658614223250098f64
 2 13 25 5 0  53.005515299038379f64
