 2 1 25 5 0 U 0.19655533333333333
 2 3 25 5 0 U 3.8392886666666666
 2 5 25 5 0 U 5.531771666666667
 2 7 25 5 0 U 1.5903433333333332
 2 9 25 5 0 U 1.8473866666666667
 2 11 25 5 0 U 16.102877666666664
 2 13 25 5 0 U 15.496646333333334
 2 1 25 5 0 M 0.06921966666666667
 2 3 25 5 0 M 0.6886426666666666
 2 5 25 5 0 M 1.2451013333333332
 2 7 25 5 0 M 3.3924003333333337
 2 9 25 5 0 M 8.149968
 2 11 25 5 0 M 5.411069
 2 13 25 5 0 M 318.265922
 2 1 25 5 0 C 0.04254533333333334
 2 3 25 5 0 C 0.619231
 2 5 25 5 0 C 2.283955
 2 7 25 5 0 C 6.108924666666667
 2 9 25 5 0 C 15.011221
 2 11 25 5 0 C 30.229751
 2 13 25 5 0 C 53.55106166666666
