source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:679:60-65        3     1080    100377.90  0.3216
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:122        9      276     53084.29  0.1702
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:70        3       84     40577.26  0.1301
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:675:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:66:14-67:75        3    20052      9197.11  0.0295
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:675:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    34586      8461.10  0.0271
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    36257      7537.75  0.0243
<unknown:futhark_mc_segmap_parloop_544413>           1    24384      6907.79  0.0221
<unknown:futhark_mc_segmap_parloop_544339>           1    24384      6240.93  0.0200
<unknown:futhark_mc_segmap_task_544337>              1     1524      6096.22  0.0195
<unknown:futhark_mc_segmap_parloop_544339_total>        1     1524      6061.89  0.0194
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3     2352      4902.11  0.0157
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3     2352      4784.54  0.0154
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    30240      4564.40  0.0147
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    30240      4562.98  0.0146
autotrade/equilibrium.fut:90:28-94:43->autotrade/equilibrium.fut:89:45-94:43->autotrade/equilibrium.fut:81:101-84:99        3       12      3673.23  0.0118
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6     1080      3298.77  0.0105
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6     1080      3019.52  0.0097
