source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      504      2922.42  0.0094
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      504      2756.89  0.0088
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-670:59->autotrade/trmodel.fut:462:10-463:58->autotrade/trmodel.fut:458:41-463:58->autotrade/trmodel.fut:456:10-89        6     1164      2755.16  0.0088
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    15120      2528.50  0.0081
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3     1176      2191.87  0.0071
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3    13824      1990.11  0.0064
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3    13824      1906.54  0.0060
<unknown:futhark_mc_segmap_task_544411>              1     1524      1901.22  0.0061
<unknown:futhark_mc_segmap_parloop_544413_total>        1     1524      1791.29  0.0057
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      540      1442.95  0.0045
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:126:27-63->lib/github.com/diku-dk/linalg/lu.fut:66:21-70:28        3     6048      1244.43  0.0040
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:130:27-63->lib/github.com/diku-dk/linalg/lu.fut:76:15-80:22        3     6048      1157.80  0.0037
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      252      1127.23  0.0036
