source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:122        9      298     22722.84  0.2020
<unknown:futhark_mc_segmap_parloop_514214>           1    17248     19082.77  0.1698
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:884:60-65        3      756      7759.69  0.0691
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    30583      7503.10  0.0668
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:479:38-488:41        3      756      6575.84  0.0585
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-579:49->autotrade/equilibrium.fut:402:13-408:43        3      756      5841.22  0.0519
<unknown:futhark_mc_segmap_task_514212>              1     1078      3070.88  0.0273
<unknown:futhark_mc_segmap_parloop_514214_total>        1     1078      3050.38  0.0271
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:880:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    25840      2943.87  0.0262
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:70        3       70      2677.15  0.0238
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:478:78-489:18        3       70      2092.76  0.0186
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-579:49->autotrade/equilibrium.fut:401:9-409:14        3       70      2086.63  0.0185
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      588      2085.98  0.0186
<unknown:futhark_mc_segmap_parloop_513595>           1    17248      1871.57  0.0167
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     6300      1685.04  0.0149
