source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:679:60-65        3      252     40467.25  0.5329
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:122        9      150     13024.92  0.1714
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:70        3       42      8237.85  0.1086
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    21766      3668.14  0.0482
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:675:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    17278      1945.10  0.0256
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     1368       975.14  0.0128
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      228       917.31  0.0120
autotrade/equilibrium.fut:90:28-94:43->autotrade/equilibrium.fut:89:45-94:43->autotrade/equilibrium.fut:81:101-84:99        3        4       716.37  0.0095
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:122:18-46->lib/github.com/diku-dk/linalg/lu.fut:44:10-58:16        6      148       432.84  0.0057
autotrade/equilibrium.fut:90:28-97:17->autotrade/equilibrium.fut:89:45-96:71->autotrade/equilibrium.fut:37:79-61:50        6       10       397.21  0.0053
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-670:59->autotrade/trmodel.fut:462:10-463:58->autotrade/trmodel.fut:458:41-463:58->autotrade/trmodel.fut:456:10-89        6      294       277.99  0.0036
<unknown:futhark_mc_segmap_task_544337>              1      378       259.66  0.0034
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:66:14-67:75        3     4072       242.23  0.0032
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      168       230.06  0.0029
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:122:18-46->lib/github.com/diku-dk/linalg/lu.fut:50:20-28->lib/github.com/diku-dk/linalg/lu.fut:46:12-49:25        3     4610       209.34  0.0027
<unknown:futhark_mc_segmap_task_544411>              1      378       203.45  0.0027
<unknown:futhark_mc_segmap_parloop_544339_total>        1      378       198.66  0.0026
<unknown:futhark_mc_segmap_parloop_544413_total>        1      378       191.79  0.0025
<unknown:futhark_mc_segmap_parloop_544413>           1     6048       189.99  0.0025
<unknown:futhark_mc_segmap_parloop_544339>           1     6048       184.63  0.0024
lib/github.com/diku-dk/linalg/lu.fut:44:10-58:16        6       84       170.23  0.0021
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:71:27-35        3     4023       150.97  0.0019
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     1008       140.71  0.0019
lib/github.com/diku-dk/linalg/lu.fut:50:20-28->lib/github.com/diku-dk/linalg/lu.fut:46:12-49:25        3     2181       104.36  0.0014
