source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3      700      1556.09  0.0130
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3     7560      1433.11  0.0120
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      252      1399.59  0.0117
autotrade/equilibrium.fut:90:28-94:43->autotrade/equilibrium.fut:89:45-94:43->autotrade/equilibrium.fut:81:101-84:99        3        8      1384.09  0.0115
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      252      1201.50  0.0101
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-670:59->autotrade/trmodel.fut:462:10-463:58->autotrade/trmodel.fut:458:41-463:58->autotrade/trmodel.fut:456:10-89        6      826      1120.56  0.0094
<unknown:futhark_mc_segmap_task_544411>              1     1078      1069.92  0.0089
<unknown:futhark_mc_segmap_task_544337>              1     1078      1020.09  0.0085
<unknown:futhark_mc_segmap_parloop_544413_total>        1     1078       994.04  0.0083
<unknown:futhark_mc_segmap_parloop_544339_total>        1     1078       980.62  0.0082
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     6300       832.39  0.0070
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:126:27-63->lib/github.com/diku-dk/linalg/lu.fut:62:59-71:16        3      252       810.01  0.0067
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:44-559:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:126:27-63->lib/github.com/diku-dk/linalg/lu.fut:66:21-70:28        3     2520       615.74  0.0051
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      294       563.19  0.0045
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:130:27-63->lib/github.com/diku-dk/linalg/lu.fut:76:15-80:22        3     2520       538.42  0.0045
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     3150       431.91  0.0036
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3     3780       422.04  0.0035
