source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
<unknown:futhark_mc_segmap_parloop_514214>           1    24384    148903.10  0.2997
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:122        9      276     83444.94  0.1679
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    35513     43656.34  0.0879
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:479:38-488:41        3     1080     23235.16  0.0468
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:884:60-65        3     1080     22554.44  0.0454
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-579:49->autotrade/equilibrium.fut:402:13-408:43        3     1080     19781.47  0.0397
<unknown:futhark_mc_segmap_task_514212>              1     1524     14498.06  0.0292
<unknown:futhark_mc_segmap_parloop_514214_total>        1     1524     14446.49  0.0291
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:70        3       84      9182.66  0.0185
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:880:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    35257      8206.33  0.0166
