source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:478:78-489:18        3       84      8025.86  0.0162
<unknown:futhark_mc_segmap_parloop_513595>           1    24384      7192.82  0.0145
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-579:49->autotrade/equilibrium.fut:401:9-409:14        3       84      6791.85  0.0137
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3     2352      5940.11  0.0120
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-97:31        3     2352      5801.63  0.0117
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    30240      5510.43  0.0111
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    30240      5301.70  0.0106
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6     1080      5221.95  0.0106
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6     1080      4614.67  0.0093
autotrade/equilibrium.fut:90:28-94:43->autotrade/equilibrium.fut:89:45-94:43->autotrade/equilibrium.fut:81:101-84:99        3       12      4570.80  0.0091
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      504      3778.28  0.0076
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-98:30        3      504      3607.59  0.0073
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-577:57->autotrade/equilibrium.fut:292:21-41->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3    13824      3287.31  0.0066
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      540      3186.86  0.0066
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-875:59->autotrade/trmodel.fut:462:10-463:58->autotrade/trmodel.fut:458:41-463:58->autotrade/trmodel.fut:456:10-89        6     1164      3149.98  0.0063
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3    13824      2979.24  0.0059
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     6912      2302.76  0.0046
<unknown:futhark_mc_segmap_task_513593>              1     1524      2142.84  0.0043
<unknown:futhark_mc_segmap_parloop_513595_total>        1     1524      2093.63  0.0042
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:47:20-49->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:134:22-77->lib/github.com/diku-dk/linalg/lu.fut:85:39-96:39        3    15120      2086.59  0.0042
