 2 1 25 5 0 M 0.09096933333333333 0.041528029791134236 0.023976219178826152
 2 3 25 5 0 M 0.19746833333333333 0.05066412168717953 0.02925094429434906
 2 5 25 5 0 M 0.5855836666666666 0.07281582623532697 0.04204023687823104
 2 7 25 5 0 M 1.5667946666666666 0.02614823415325281 0.015096690027213876
 2 9 25 5 0 M 3.419177 0.09733769771265387 0.05619794597669913
 2 11 25 5 0 M 6.721849000000001 0.3656862123446821 0.21112903313613687
 2 13 25 5 0 M 11.794861666666666 0.2745290664653437 0.15849943042414286
 2 1 25 5 0 C 0.015932 0.000451498615723238 0.0002606728473265549
 2 3 25 5 0 C 0.403629 0.01053228925732673 0.006080820037900591
 2 5 25 5 0 C 1.7584199999999999 0.03823925778568403 0.02207744577617617
 2 7 25 5 0 C 5.035720666666666 0.06480012111356992 0.03741236736843995
 2 9 25 5 0 C 10.899230666666666 0.4084467859309623 0.23581686180687855
 2 11 25 5 0 C 20.764445000000002 0.08520514344216557 0.04919321250267497
 2 13 25 5 0 C 37.916908 0.4566194129261281 0.263629340970109
